Nom du minion;Texte affichage ATK;Interprétation du JSON pour l’attaque;Analyse ATK (écart / mécanique non gérée);Texte affichage DEF;Interprétation du JSON pour la défense;Analyse IA DEF (affichage vs JSON);Tokens de l’ennemi;Ce que l’app sait gérer pour ces tokens
Maraud Bestial (bleu-bleu-001);Résumé combat : 2B + 2O + 1R → 6 dégâts imparables. Détail : Sauvagerie de l’Âme.;Objectif 2 blancs + 2 orange + 1 rouge. Effet : 6 dégâts, undefendable=true.;Conforme. Dégâts et caractère imparable sont codés explicitement et appliqués.;Résumé combat : chaque O prévient 1 dégât, répétable.;4 dés. Pour chaque orange : prevent=1, repeat=true.;Conforme. Affichage et résolution automatique correspondent au defensePlan.;Aucun token.;Sans objet.
Archer Aveugle (bleu-bleu-002);Résumé combat : 3O→4, 4O→5, 5O→6, tous imparables. Rappel conditionnel : 3 valeurs identiques → Eboulissement.;Trois paliers orange donnant 4/5/6 dégâts imparables. Si l’attaque réussit et contient 3 valeurs identiques : inflige Eboulissement (règle surtout textuelle dans le JSON).;Conforme grâce à du code spécifique. La règle Eboulissement n’est pas correctement structurée dans conditionalRules.tokens, mais le code la compense.;Résumé combat : 2O préviennent 4 dégâts.;4 dés. Au moins 2 orange : prévient exactement 4, non répétable.;Conforme et automatisé.;Eboulissement (alias de Blinding Light / Lumière aveuglante).;Le catalogue reconnaît l’alias et l’affiche. L’attaque de cet ennemi sait l’ajouter. La mécanique complète du token reste partielle et dépend de code spécifique.
Mage de l’Entropie (bleu-bleu-003);"Résumé combat : objectif 2O + 1R, puis phase de dé supplémentaire. Détail : 7 + Chaos ; blanc gagne 2 Chaos ; orange inflige Sort 6.";"Objectif 2O+1R. Extra-roll : blanc → 2 Chaos au minion ; orange → Sort 6 au héros ; dégâts finaux = 7 + nombre de Chaos.";Conforme grâce à un résolveur dédié. Le moteur générique ne sait pas interpréter cette formule ni l’extra-roll.;Résumé combat : chaque O donne Chaos puis inflige 1 dégât imparable par Chaos.;"4 dés. Par orange : gagne Chaos ; dégâts de retour imparables selon le total de Chaos ; répétable.";Conforme grâce à du code spécifique.;"Chaos ; Sort 6.";"Chaos est géré spécifiquement pour cet ennemi ; Sort 6 peut être ajouté au héros mais sa mécanique générale n’est pas exécutée. Le catalogue indique maxStack=1 pour Chaos, incohérent avec le gain de 2 et les mécaniques à 3 piles."
Mage de Sang (bleu-bleu-004);"Résumé combat standard : 3O/4O/5O affichent 0 dégât ; le détail indique vol de 3/4/5 PV.";"3O → vole 3 PV ; 4O → vole 4 PV ; 5O → vole 5 PV. damage=0, stealHp=3/4/5.";Résolution conforme grâce à du code spécifique, mais le résumé ATK est trompeur car les badges de dégâts montrent 0 au lieu du vol de vie.;"Résumé combat : chaque O vole 1 PV ; au moins 1R donne Chaos.";3 dés. Chaque orange vole 1 PV (répétable). Un rouge donne Chaos (non répétable).;Conforme. Plusieurs rouges ne donnent qu’un Chaos, comme prévu par le code.;Chaos.;"Gestion spécifique complète : gain en défense et à l’entretien ; à 3 Chaos, dépense 3 et vole 3 PV. Le maxStack=1 du catalogue est incohérent et non imposé par les ajouts programmatiques."
Sorcière d’Os (bleu-bleu-005);"Résumé combat : 1B + 2O + 1R → 3 dégâts imparables ; rappels Silence/Parasite. Détail : Dépérissement + Silence + Parasite + 3 imparables ; entretien Siphon vital.";Action principale : 3 dégâts imparables, tokens Silence et Parasite. Dépérissement n’est pas dans actions.tokens. Passif textuel : gagne Siphon vital.;"Seuls les 3 dégâts imparables sont appliqués. Silence et Parasite sont parsés mais non propagés ; Dépérissement et Siphon vital ne sont pas exécutés.";Résumé combat : vide. Fiche détail : « Defense: » sans règle.;4 dés. Par orange : vole 1 PV. Par rouge : inflige Hémorragie. Le JSON encode mal le vol (stealHp=0) et utilise des conditions textuelles.;"Écart critique : defensePlan non parsé ; aucune défense automatique ni affichage utile.";"Dépérissement ; Silence ; Parasite ; Siphon vital ; Hémorragie.";Catalogue/UI : tous reconnus. Dépérissement et Hémorragie sont marqués supportés, mais cet ennemi ne les applique pas. Silence, Parasite et Siphon vital sont non supportés. Hémorragie française ne déclenche pas le handler exact « Bleed ».
Cyclope Brutal (bleu-bleu-006);"Résumé combat : 4B + 1R → 6 dégâts. Détail : 6 + valeur d’un dé ; en cas d’échec, 2 dégâts imparables.";"Action structurée : 6 dégâts. Le jet supplémentaire et l’ajout de sa valeur sont seulement textuels ; passif d’échec : 2 dégâts imparables.";Seuls 6 dégâts défendables sont appliqués. Extra-roll, ajout de valeur et effet d’échec non gérés.;Résumé combat : vide.;"1 dé. Blanc → retourne 3 dégâts ; orange → soigne 2 PV.";Non géré : defensePlan ignoré, aucun effet automatique.;Aucun token.;Sans objet.
The Hermit (bleu-bleu-007);"Résumé combat : 1B + 3O → 3 dégâts imparables ; rappel Dépérissement/Brûlure. Détail : dé supplémentaire, blanc +2 dégâts, orange Dépérissement, rouge Brûlure.";"Base : 3 dégâts imparables. Issues déclarées : blanc +2 dégâts ; orange Dépérissement ; rouge Brûlure, mais sans relation extraRoll exécutable.";Seule la base de 3 dégâts imparables est appliquée. Dé supplémentaire et trois issues ignorés.;Résumé combat : vide.;5 dés. Condition numérique 2 → prévient 3 dégâts.;Non géré : condition number et defensePlan ignorés.;"Dépérissement ; Brûlure.";"Les deux sont reconnus par le catalogue. Aucun n’est infligé ici. Le moteur d’entretien attend « Burn », donc une chaîne « Brûlure » resterait inactive ; Dépérissement n’a pas de réduction automatique fiable dans ce chemin."
Dark Specter (bleu-bleu-008);"Résumé combat : micro-suite → 4 ; petite suite → 0 ; grande suite → 0. Rappels Enchevêtrement/Silence. Détail : micro 4+Enchevêtrement, petite 6+Silence, grande 8+Sort 6.";Micro (longueur 3) : 4 + Enchevêtrement. Petite (4) : Silence mais damage=0. Grande (5) : damage=0 et aucun token.;Micro : seuls 4 dégâts. Petite/grande : zéro car les effets structurés à 0 bloquent le fallback texte. Tous les tokens sont ignorés.;Résumé combat : vide.;"3 dés. Texte : prévient 2 dégâts par orange ; structure prevent=2 mais répétition mal décrite.";Non géré : défense vide et aucun calcul automatique.;"Enchevêtrement ; Silence ; Sort 6.";"Catalogue/UI : reconnus. Enchevêtrement est marqué supporté, mais aucune réduction générique du nombre de jets ; Silence et Sort 6 sont non supportés. Aucun n’est appliqué par cette attaque."
The Butcher (bleu-bleu-009);"Résumé combat : 1B + 2O + 1R → 3 dégâts imparables. Détail : dé supplémentaire ; orange → Commotion ; échec → soigne 2.";"Action principale : 3 dégâts imparables. Issue orange et passif de soin existent surtout en texte/structure dissociée ; aucun extraRoll relié.";Seuls 3 dégâts imparables sont appliqués. Dé, Commotion et soin sur échec ignorés.;Résumé combat : vide.;1 dé. Orange → retourne 3 dégâts.;Non géré : aucun retour de dégâts automatique.;Commotion.;Token reconnu mais appSupported=false. Quelques rappels UI existent, mais cet ennemi ne l’inflige pas et le cycle complet (saut de revenu puis retrait) n’est pas automatisé.
Vipère Vicieuse (bleu-bleu-010);"Résumé combat : objectifs 3B et 3B+1R ; 7 dégâts ; rappel Poison.";"Texte : 3B→7 ; 3B+R→Poison+7. JSON : une seule action 3B→7 contenant déjà Poison ; aucune action distincte pour le palier avec rouge.";7 dégâts sont appliqués. Poison n’est pas propagé. Données incohérentes : Poison est rattaché au mauvais objectif.;Résumé combat : vide.;4 dés. Un rouge inflige Poison.;Non géré : le defensePlan n’est pas interprété.;Poison.;Le moteur sait traiter exactement « Poison » à l’entretien (-1 PV par pile), et le catalogue limite à 3. Mais cet ennemi ne l’ajoute automatiquement ni en attaque ni en défense.
